id,Title,areaOfStudy,Description,Faculty,level,corequisites,delivery_method,credits,maxenrollment,learning_outcomes,coursecode,Status,is_this_a_full-term_course_or_a_module_or_seven_week_course,coursetime_open,time_choice_0,time_choice_1,time_choice_2,time_choice_3
23011,Advanced Projects in Dance,Dance,"This course is for students with prior experience in dance making who wish to create new work for performance or senior work. We will share our work regularly, explore different feedback modalities, and reflect on our own individual artistic approaches and concerns. Attention will be given to the elements involved in composition, production, collaboration and presentation. Students are expected to show their work throughout all stages of development, complete their projects, and share them formally or informally by the end of the term.",Levi Gonzalez,4000-level,Dance or Drama Lab Assignment if students are registered for 4 or more credits in designated dance courses.,Fully in-person,4,14,"Students will:
• build a consistent, rigorous and self-directed artistic practice.
• navigate diverse artistic approaches and ideas through open-ended conversation.
• explore various methods of artistic critique and feedback.
• deepen our ability to reflect on and articulate our own artistic process.
",DAN4795.01,publish,Full-term,"M 7:00PM - 8:50PM, W 4:10PM - 6:00PM ",,,,
24364,Advanced Projects in Film and Video,Film and Video,"Students will work towards completing one moving image piece or body or work of their own devising during the course of the semester.  This course is primarily intended for seventh- and eighth-term students with a Plan concentration in Film/Video who have already taken Advanced Projects I in the prior fall, but exceptions may be made by permission of the instructor.  Students will concentrate on their own production and editing processes in this course, while the course will balance a schedule of regular group critiques and individual meetings with technical workshops in post-production, presentation/exhibition formats, as well as planning and placement of work post-graduation.  The class will be concluded with a public screening event.",Jen Liu,4000-level,,Fully in-person,4,12,"- Focus on a significant video production of their own devising;
- Put to use all the tools of pre-production such as storyboarding, budgeting, scheduling, and sound and visual design;
- Put to use best practices for 4K production workflow from cinematography to post to color grading;-
- Develop their advanced work through both individual meetings with the instructor and presentations to the group;
- Exhibit their work in an end-of-the-year exhibition/screening.",FV4304.01,publish,Full-term,,,Tu 2:10PM - 5:50PM,,
23797,Advanced Translation Workshop,Literature,"<div>

This intensive advanced translation workshop focuses on student work. Meant for those who have taken Ethical Translation and learned the nuts of translation there – though students who have otherwise translated may apply for special permission to join, including those taking The Global Enlightenment fall 2024 – here we dig into your longer translation projects.

</div>
<div>

Reading each other’s work with care and attention is required. Revising your own with the same dedication is crucial.

</div>
<div>

You will walk out of this class with a complete translation of a short story or series of poems, or a solid sample of a longer work of fiction (such as a novel).

</div>",Mariam Rahmani,4000-level,"Students are required to attend all Literature Evenings and Poetry at Bennington events this term, commonly held at 7pm on most Wednesday evenings.",Fully in-person,4,15,"- Learn how to choose the right translation project for you
- Learn how to create a list of priorities and your own rubric for each translation 
- Learn how to edit your work and others'
- Learn how to persevere through revisions, ending in a polished, publishable draft
",LIT4596.01,publish,Full-term,,,Tu 2:10PM - 5:50PM,,
23778,Advanced Workshop in Painting and Drawing,Painting,"This course is for experienced student artists making work in painting and drawing who have a firm commitment to serious work in the studio. In this course students will primarily work on self-directed projects in an effort to develop and refine individual concerns and subject matter. Overall, the development of a strong work ethic will be crucial; a high level of commitment is expected.

Students will present work regularly both for critique in class and for individual studio visits with the instructor. In addition to consistent work on self-directed projects, students will be assigned occasional readings, short written responses, exercises/assignments to support their studio work, and/or a research project on the work of modern and contemporary artists (20th and 21st century). Due to the individualized nature of this course students will be responsible for purchasing whatever materials are necessary to realize their projects.",Beverly Acha,4000-level,,Fully in-person,4,12,"- Create an independent/self-directed body of work in painting and/or drawing
- Develop advanced work through consistent feedback in the form of group critiques and individual meetings with the instructor
- Hone written and verbal skills for discussing one's own work and that of others 
- Develop a rigorous artistic/studio practice 
",PAI4420.01,publish,Full-term,,,W 8:30AM - 12:10PM,,
23278,African Conflict Resolution,"Advancement of Public Action, CAPA","The prevention, management and resolution of African conflicts is a major challenge for the international community and the continent’s peoples. Africa accounts for the largest and highest number of United Nations’ peacekeeping operations, but these “stabilization” missions have mostly failed to stabilize the continent, and  large segments of the African population continue to live in deadly conflict zones. This course will explore the African conflict resolution experience from a comparative perspective. Topics will include conflict resolution theory and the African experience, the complex roots of African conflicts, the institutional designs and performance of the continent’s domestic and international conflict resolution mechanisms, and positive and negative comparative lessons from intermediation in selected major African conflicts.",Rotimi Suberu,4000-level,,Fully in-person,2,16,"Students will learn to:
1. Analyze the complex roots of African conflicts;
2. Identify various mechanisms for managing African conflicts;
3. Evaluate factors driving success and failure in African conflict management;
4. Assess the relevance of the African conflict resolution experience from a comparative perspective.   

",POL4254.01,publish,1st seven weeks,,M/Th 10:00AM - 11:50AM,,,
22940,After Superflat,Visual Arts,"Manga or Japanese comic book and Anime images have become integrated into the global contemporary art context. While investigating the social codes that can be found in the various genres of manga and trends within the cultural specificities of Japan from 1945 to today, this course explores the influences of Manga/Anime on Fine Art and contemporary context of art making. This is a research-based studio art class, therefore requirements include weekly readings on the history of Japanese subcultures of the Post World War II era, their socio‐political context, and Japanese contemporary art theory, such as Takashi Murakami’s Superflat Manifesto. Various studio assignments also focus on composition, serial image making, movement and narrative, performative work, collage and assemblage, and use of text. Please note that this is not a manga making technique class.",Yoko Inoue,2000-level,,Fully in-person,4,12,"- understanding cultural complexities of contemporary art practices 
- engage with the interdisciplinary approaches of art making ",VA2207.01,publish,Full-term,,,Th 1:40PM - 5:20PM,,
22942,After Superflat Directed Project: Nuclear War,"Advancement of Public Action, Visual Arts","Conducted through research that focuses on the development of Japanese subcultures in the Post World War II period, this course poses various critical inquiries about the effects of nuclear bombings of Hiroshima and Nagasaki on contemporary global consumer society and the production of art. We will also bring into focus the trauma revisited up on us by the more recent nuclear disaster of Fukushima. Research projects will be focused on the cultural and socio-political underpinnings of manga, anime, consumer goods, and fashion etc. This is a cross-disciplinary studio art class. Students are required to develop an independent project that includes a visual arts component based on reading and extensive research material collected throughout the term.",Yoko Inoue,4000-level,,Fully in-person,4,12,"- development of interdisciplinary art practices
- establish research oriented art making processes
- understanding broader political, social, and cultural implications/intentions of art work / projects",VA4407.01,publish,Full-term,,,W 2:10PM - 5:50PM,,
23605,AI and Ethics,"Computer Science, Philosophy","If you had a robot who always tied your shoes for you, would you ever have learned how to tie your shoes yourself? What about if that same agent did all your arithmetic and all your writing, and eventually shaped all your decisions? The promise of AI is fraught with ethical questions that strike at the very heart of what it means to be human and to act as a moral agent in society. It reveals a fundamental tension between what AI can do and what AI should do. In the modern world, that tension is growing.

This course investigates AI Ethics using a truly interdisciplinary approach. We shall explore AI from the perspective of computer science, where you will learn about procedural algorithms and neural networks; and from the perspective of philosophy, where we will discuss how one ought to act. Our goal is to think deeply about human values in an increasingly technological world, and to inform discussions about ethics with an understanding of how AI actually works.

You do not require a background in philosophy or computer science to take this class. But you must be willing to read and think about both technical and philosophical works, and be comfortable with elementary algebra. Any other background will be provided. By the end of our class, you will discover whether you want a robot that ties your shoes.

Topics include: computer science, artificial intelligence, machine learning, neural networks, deep learning, philosophy, ethics

Evaluation will be based on active engagement, projects, writing, and a comprehensive final examination.",Darcy Otto,2000-level,,Fully in-person,4,20,"—Understand and be able to explain deep learning, and how deep learning is related to machine learning and AI in general.
—Create a neural network using backpropagation from first principles, without using any libraries of functions.
—Understand and be able to explain the study of ethics, and how it is connected to other areas of knowledge.
—Articulate how various ethical theories apply to emerging technologies, and artificial intelligence in particular.
—Discuss the alignment problem, and how it may play out for future developments in artificial intelligence.",CS2140.01,publish,Full-term,,,W 8:30AM - 12:10PM,,
23110,Alexander Technique: Optimizing how you work when moving (advanced),Dance,"This course will deepen students’ understanding of the Alexander Technique and Ideokinesis in relation to dance, the practice of performance, and everyday movement. It is both a movement and somatic class. This is a more advanced study of the Technique and its application. The Alexander Technique opens up the possibility of finding new balance, efficiency, strength, direction, and perspective. It makes your physical capacity more available, as well as your performative intelligence, and it improves everyday function.

Some classes will include the application of the Alexander Technique and performance practice principles when moving or dancing, and some classes will focus on the study of the skeleton in order to understand the fundamentals of the body. The instructor will guide and support students into a more optimal balance and freedom. Alexander Technique challenges the student to wake up and notice what it is they are doing in their day to day lives and performance work. This shift in awareness and attention aims to stimulate and enhance better function all around.",Ros Warby,4000-level,"Dance or Drama Lab Assignment if students are registered for 4 or more credits in designated dance courses


",Fully in-person,4,20,"Find greater freedom in movement
Find tools that support balance, efficiency, strength, direction and perspective to everyday lives and performance work
Learn how we see and perceive ourselves
Let go of unnecessary tensions, habits, patterns and preconceived ideas of what dance is
Wake up and notice what we are doing in our dance and day to day activity 
",DAN4370.01,publish,Full-term,,Tu/F 10:30AM - 12:20PM,,,
23190,All About Love: Advanced – Endurance Movement Practice,Dance,"<span style=""font-weight: 400;"">“The search for love continues even in the face of great odds.”</span>

<span style=""font-weight: 400;"">What is love? When we talk about love are we perceived as weak and irrational? We are living in the times where learning to love gets shadowed by a culture of narcissism.</span>

<span style=""font-weight: 400;"">In this class we will analyze bell hooks’s “all about love”, then embody written material through rigorous movement practice, breath work, sound exercises, and physical endurance practices. Through embodiment of hooks’ text via partnering work we will explore the ability to trust, take risks, respect while being vulnerable, striking mind and heart at the same time, using the power of love as a transformative force for change.</span>

<span style=""font-weight: 400;"">In moments when disappointment is hidden behind cynicism, and honest discussions about love are replaced with fantasy, we will use sensorial wisdom to grow our capacity to feel, inspire, provoke, sense, recognize in order to build a path to healing for the individual and the community. We will explore how “Love informs decisions, strengthens our understanding of community and keeps us together”.</span>

<span style=""font-weight: 400;"">“Face one another as we really are stripped of artifice and pretense, naked and not ashamed”.</span>

<span style=""font-weight: 400;"">quotations from bell hooks “all about love”</span>

&nbsp;",Elena Demyanenko,2000-level,"Dance or Drama Lab Assignment if students are registered for 4 or more credits in designated dance courses.
",Fully in-person,4,16,"- Close reading of textual material through intellectual and risk taking embodied practice

- Read, analyze and assess pop-psychology and self-improvement literature critically

- Incorporate research practice and self-reflexivity into your everyday life, and movement

- Analyze through the embodiment of mind-body paradigm and challenge stamina of this united boydmind

- Learn “how” vs “what” to learn, contribute and participate

- Accumulate practical knowledge around nourishment and self-regulation through breath/movement/relation work

- Greater presence and experience of imaginative possibilities while improvising

- Ability to sense the subtleties of dancing with others with minimal contact

- Self awareness through movement tendencies and chosen concepts",DAN2367.01,publish,Full-term,,,Tu 2:10PM - 5:50PM,,
23320,American Environmental Politics,"Environment, Politics","This course will explore American environmental politics, from the late 1800s to the present day, with a focus on understanding the actors, institutions, and structural power dynamics that impact environmental struggles. We will proceed by engaging with a variety of historical and contemporary case studies related to clean air and water, forests, energy, public lands, and climate change. These cases will provide insight into major theories and concepts relevant to American politics; the historical evolution of American environmental policy; the ways in which various interest groups seek to influence environmental policy; and the role played by social movements that operate outside of formal political institutions.",John Hultgren,2000-level,,Fully in-person,4,20,"-Students will be introduced to the theories of power that social scientists use to make sense of the world, as well as major concepts employed by scholars of public policy.
-Students will gain a working grasp of the history of struggles over access to and control over land, water, and forests in the United States.
-Students will examine different ways of conceptualizing and valuing nature and the environment.
",POL2109.01,publish,Full-term,,M/Th 1:40PM - 3:30PM,,,
23732,An Actor's Technique: Nuts and Bolts,Drama,"How do actors bridge the gap between themselves and the role they are playing? How do actors rehearse with other actors in order to explore the world of the play? This non-performance based class is designed to help individual actors discover their own organic, thorough rehearsal process. Step by step we will clarify the actor’s process: character research, character exploration, text analysis, identifying actions, working with scene partners, emotional preparation, and scene presentation. Each student will be required to research and present the biography of one renowned actor during the term, and these presentations will serve as a springboard for an on-going group conversation about the craft of acting. Students will work to create a warm-up specifically designed to meet their individual needs, and work on one scene throughout the term, allowing them to explore deeply, revise, and edit their choices. Various rehearsal techniques will be explored, so that students can begin creating their own rehearsal technique for future performance work.",Jennifer Rohn,4000-level,Drama or Dance Lab Assignment,Fully in-person,4,16," -Understanding of the principles of collaboration
-Ability to analyze and interpret a text(play)
-Develop a sense of how work is created and an ability to foster process
-Solidify your individual process as an actor from rehearsal to performance

",DRA4127.01,publish,Full-term,,,W 8:30AM - 12:10PM,,
23358,Analysis,Mathematics,"For the first one hundred and fifty years after its introduction, calculus saw an explosive development in its applications to mathematical and physical problems, defeating old problems thought of as insoluble, and solving new problems no-one had even thought to consider before. At the same time, it was under a cloud of suspicion: it rested on vague arguments about quantities becoming ""infinitely"" small or ""infinitely"" numerous, and though it usually gave correct answers in the end, it was far from the model of logical clarity provided by Euclid's Elements. In this class, you will prove everything that was taken for granted in introductory calculus, starting from first principles. Aside from providing logical certainty, these techniques of proof provide insight as to the real meaning of ""infinitely"" small, ""infinitely"" many, and ""limiting"" value. These techniques are used almost universally in higher mathematics, and a course in Analysis is the central building block of an undergraduate mathematics degree. In addition, the techniques are also essential to theoretical computer science, so students interested in that field should take this course as well.",Kathryn Montovan,4000-level,,Fully in-person,4,16,"In this course, you will:
•	Prove theorems
•	Build up understanding of calculus using proofs
•	Demonstrate a deeper understanding of core ideas from calculus
",MAT4214.01,publish,Full-term,,,,,M/W/Th 8:30AM - 9:50AM
22988,Ancient to Modern Environments: Near and Far,"Earth Science, Environment","To study a planet’s climatic variation over geologic time we must look for subtle clues in the sedimentary rock record. We are currently doing this on two planets, and scientists have their sights set on more planetary bodies around the solar system. At the same time, the James Webb telescope is offering an unprecedented glimpse of what planets may look like outside of our solar system. This advanced seminar will focus on the methods for studying Earth’s environmental change over deep time, and speculate on the uniqueness or non-uniqueness of our solar system based on breaking new data. Students will be assessed primarily on independent investigations and making positive contributions to class discussions. Class discussions will be supplemented by field trips that require light physical activity.",Tim Schroeder,4000-level,,Fully in-person,2,13,"1) Learn how scientific research informs societal understanding of environmental issues
2) Learn how to make observations of the natural world and connect them to the larger framework of scientific understanding
3) Learn to read scientific literature",ES4106.01,publish,Full-term,,,,Tu 2:10PM - 4:00PM,
22990,Applied/Engineering Physics,Physics,"This course applies the concepts of mechanical physics to practical engineering and environmental problems. Any structure, be it a building, a nuclear reactor, a dam, an embankment, or a natural hillside, must be able to withstand the stresses that are placed on it by its environment without failing in order to ensure people’s safety. You will learn how forces cause stress within solid materials and how to map the three-dimensional state of stress through a material. We will apply concepts of material science to predict how the stress state of a material causes it to deform and predict how, and at what load, a structure will fail.",Tim Schroeder,4000-level,,Fully in-person,4,20,"•	Learn to apply basic Newtonian Physics to the analysis of practical built and natural structures
•	Analyze forces on objects in 3-D space
•	Understand and analyze, quantitatively, why things may break/fail",PHY4217.01,publish,Full-term,,M/Th 3:40PM - 5:30PM,,,
22906,Bass Intensive,Instrumental Study,"Advanced studies in theory relating to performance. Students must be enrolled in Bass with Bisio (MIN4417) simultaneously, no exceptions. This class is only for advanced students and by permission.",Michael Bisio,4000-level,Bass with Bisio,Fully in-person,2,3,"Bass ensemble performance
Transcribing
Theory
Music",MIN4026.01,publish,Full-term,,,,,
22904,Bass with Bisio,Instrumental Study,Beginning to advanced lessons in bass technique and appropriate theory.,Michael Bisio,4000-level,,Fully in-person,2,7,"Fingerboard positions
Scales
Arpeggios
Construction of bass lines",MIN4417.01,publish,Full-term,,,,,
22813,Beginning Cello II,Instrumental Study,"The basics of cello, part two. In a small group or one-on-one, students will learn how to play cello, with an emphasis on performance at the term’s conclusion.",Nathaniel Parke,4000-level,"Must attend and participate in Music Workshop (Tuesday, 6:30 – 8pm) 8 out of 14 weeks per term.",Fully in-person,2,3,"-Learn the basics of cello technique
-Become able to play simple yet high quality short pieces",MIN4354.01,publish,Full-term,,,,,
24156,Beginning Guitar,Instrumental Study,"Introduces the fundamentals of guitar playing, including: posture, hand positions, tuning, chords, strumming, finger-picking, songs and tunes, major scales, and beginning to read music. History of the guitar and its past and current artists will be shared.",John Kirk,2000-level,,Fully in-person,2,5,"• Learning personal music making skills through daily practice.
• Learning to teach yourself how to write, play, and practice as a life long art.
• Expanding awareness of music repertoire played on guitar.",MIN2247.01,publish,Full-term,Th 10:00AM-10:50AM,,,,
23205,Beginning Violin II,Instrumental Study,"Students who are familiar with the basics of holding the instrument and the bow and have played for at least 1 semester. Individual 25-30 min. long lessons.

Daily practice (about 15-20 min.) is expected. End-of-semester performance is required.",Joana Genova,4000-level,,Fully in-person,2,3,"Students will keep working on:
-posture;
-note reading;
-key signatures and time signatures
-rhythms
-different bow-strokes
-basic dynamics",MIN4360.01,publish,Full-term,,,,,
